Irradiances,Clear Sky,Clear Sky,Clear Sky,Total,Clearness,Net,PV,Solar,Sun,Sun,Vector,,vCumulativeRadiationArray,,,
,Direct,Diffuse,Reflected,Clear Sky,Index,Radiation,Output,Angle,Elevation,Azimuth,Dot Product,,Column 1,Column 2,Column 3,Column 4
Minute,,,,,,,,,,,,,,,,
109,0,0,0,0,0.43,0,0,155.24659349149044,-54.517632115160694,139.6467014970255,-0.9081182808935231,,0,0,,3.227475638748577
110,0,0,0,0,0.42,0,0,155.02821075995223,-54.42094370059406,139.2874434707004,-0.9065157619971406,,0,0,,3.2296357620737157
111,0,0,0,0,0.46,0,0,154.80951121883092,-54.32354956753504,138.92959855047852,-0.9048977202486774,,0,0,,3.2307958853988548
112,0,0,0,0,0.46,0,0,154.5905034911612,-54.22545628698163,138.57316480531352,-0.9032641864533159,,0,0,,3.231956008723994
113,0,0,0,0,0.43,0,0,154.37119592176418,-54.12667040808064,138.2181400799364,-0.9016151917111848,,0,0,,3.233866132049133
114,0,0,0,0,0.43,0,0,154.15159658807488,-54.02719845717911,137.86452200037272,-0.8999507674167672,,0,0,,3.235776255374272
115,0,0,0,0,0.35,0,0,153.93171331049587,-53.92704693690998,137.51230797942816,-0.8982709452583026,,0,0,,3.2396863786994112
116,0,0,0,0,0.35,0,0,153.71155366229928,-53.826222325311505,137.16149522213894,-0.8965757572171833,,0,0,,3.2435965020245505
117,0,0,0,0,0.46,0,0,153.4911249790993,-53.72473107497988,136.81208073118393,-0.8948652355673457,,0,0,,3.2447566253496896
118,0,0,0,0,0.47,0,0,153.27043436791433,-53.622579612254846,136.46406131225535,-0.893139412874657,,0,0,,3.2456667486748287
119,0,0,0,0,0.48,0,0,153.04948871583858,-53.51977433643734,136.11743357938403,-0.8913983219962931,,0,0,,3.246326871999968
120,0,0,0,0,0.49,0,0,152.8282946983419,-53.416321619039316,135.7721939602184,-0.8896419960801148,,0,0,,3.246736995325107
121,0,0,0,0,0.68,0,0,152.60685878721432,-53.3122278030646,135.42833870125213,-0.8878704685640354,,0,0,,3.242397118650246
122,0,0,0,0,0.44,0,0,152.38518725817306,-53.20749920232088,135.08586387300056,-0.8860837731753859,,0,0,,3.2440572419753853
123,0,0,0,0,0.45,0,0,152.16328619814644,-53.10214210076165,134.74476537512066,-0.8842819439302708,,0,0,,3.2454673653005246
124,0,0,0,0,0.72,0,0,151.94116151225083,-52.99616275185815,134.40503894147486,-0.8824650151329212,,0,0,,3.2401274886256637
125,0,0,0,0,0.77,0,0,151.71881893047478,-52.88956737800049,134.06668014513565,-0.8806330213750431,,0,0,,3.233537611950803
126,0,0,0,0,0.77,0,0,151.49626401408264,-52.78236216992733,133.72968440332838,-0.8787859975351564,,0,0,,3.2269477352759424
127,0,0,0,0,0.77,0,0,151.2735021617526,-52.674553286183816,133.39404698231203,-0.8769239787779327,,0,0,,3.2203578586010817
128,0,0,0,0,0.65,0,0,151.05053861545963,-52.566146852606984,133.05976300219504,-0.8750470005535249,,0,0,,3.2167679819262207
129,0,0,0,0,0.63,0,0,150.82737846611602,-52.45714896183816,132.72682744168566,-0.8731550985968933,,0,0,,3.21367810525136
130,0,0,0,0,0.6,0,0,150.60402665898,-52.347565672861926,132.39523514277417,-0.8712483089271236,,0,0,,3.211338228576499
131,0,0,0,0,0.48,0,0,150.38048799884373,-52.23740301057069,132.0649808153479,-0.869326667846743,,0,0,,3.2119983519016384
132,0,0,0,0,0.52,0,0,150.15676715500965,-52.12666696535475,131.73605904173527,-0.8673902119410264,,0,0,,3.2116584752267774
133,0,0,0,0,0.51,0,0,149.93286866606613,-52.015363492717164,131.40846428118087,-0.8654389780773045,,0,0,,3.2115685985519167
134,0,0,0,0,0.81,0,0,149.70879694446955,-51.903498512912414,131.08219087424723,-0.8634730034042565,,0,0,,3.2039787218770557
135,0,0,0,0,0.96,0,0,149.48455628094402,-51.79107791060915,130.7572330471462,-0.861492325351207,,0,0,,3.192638845202195
136,0,0,0,0,0.94,0,0,149.260150848704,-51.67810753457545,130.43358491599608,-0.8594969816274096,,0,0,,3.181798968527334
137,0,0,0,0,0.87,0,0,149.0355847075107,-51.56459319738705,130.1112404910068,-0.8574870102213343,,0,0,,3.172709091852473
138,0,0,0,0,0.87,0,0,148.81086180756705,-51.45054067515696,129.7901936805898,-0.8554624493999388,,0,0,,3.163619215177612
139,0,0,0,0,0.76,0,0,148.58598599325987,-51.335955707286914,129.47043829539462,-0.8534233377079421,,0,0,,3.157279338502751
140,0,0,0,0,0.67,0,0,148.3609610067559,-51.22084399623917,129.15196805227126,-0.8513697139670923,,0,0,,3.1531894618278904
141,0,0,0,0,0.69,0,0,148.13579049145724,-51.10521120732886,128.83477657815718,-0.8493016172754249,,0,0,,3.1485995851530295
142,0,0,0,0,0.7,0,0,147.91047799532336,-50.98906296853584,128.51885741389006,-0.8472190870065198,,0,0,,3.1437597084781688
143,0,0,0,0,0.76,0,0,147.6850269740647,-50.87240487033587,128.20420401794576,-0.8451221628087512,,0,0,,3.137419831803308
144,0,0,0,0,0.76,0,0,147.45944079421395,-50.75524246555007,127.89080977010173,-0.8430108846045336,,0,0,,3.131079955128447
145,0,0,0,0,0.62,0,0,147.23372273607993,-50.637581269212944,127.57866797502551,-0.8408852925895604,,0,0,,3.128240078453586
146,0,0,0,0,0.8,0,0,147.00787599658966,-50.519426758457534,127.26777186578934,-0.8387454272320399,,0,0,,3.1209002017787255
147,0,0,0,0,0.8,0,0,146.7819036920223,-50.40078437241775,126.95811460731021,-0.8365913292719234,,0,0,,3.113560325103865
148,0,0,0,0,0.8,0,0,146.55580886064112,-50.28165951214747,126.64968929971667,-0.8344230397201317,,0,0,,3.106220448429004
149,0,0,0,0,0.91,0,0,146.32959446522634,-50.16205754055522,126.34248898164165,-0.8322405998577715,,0,0,,3.096130571754143
150,0,0,0,0,0.88,0,0,146.1032633955142,-50.04198378235479,126.03650663344304,-0.8300440512353526,,0,0,,3.0867906950792823
151,0,0,0,0,0.89,0,0,145.8768184705452,-49.921443524030565,125.73173518035082,-0.8278334356719939,,0,0,,3.0772008184044215
152,0,0,0,0,1,0,0,145.6502624409264,-49.80044201381782,125.42816749554343,-0.8256087952546298,,0,0,,3.0648609417295605
153,0,0,0,0,1,0,0,145.42359799101015,-49.67898446169659,125.12579640315164,-0.823370172337207,,0,0,,3.0525210650546994
154,0,0,0,0,1,0,0,145.1968277409938,-49.5570760393996,124.82461468119216,-0.8211176095398787,,0,0,,3.0401811883798384
155,0,0,0,0,1,0,0,144.96995424894303,-49.43472188043315,124.5246150644313,-0.8188511497481932,,0,0,,3.0278413117049774
156,0,0,0,0,1,0,0,144.74298001274232,-49.311927080110735,124.2257902471791,-0.8165708361122788,,0,0,,3.0155014350301164
157,0,0,0,0,1,0,0,144.515907471975,-49.18869669559896,123.92813288601431,-0.8142767120460194,,0,0,,3.0031615583552553
158,0,0,0,0,1,0,0,144.2887390097364,-49.06503574597524,123.63163560244217,-0.8119688212262309,,0,0,,2.9908216816803943
159,0,0,0,0,1,0,0,144.0614769543824,-48.940949212297056,123.33629098548428,-0.8096472075918272,,0,0,,2.9784818050055333
160,0,0,0,0,1,0,0,143.83412358121635,-48.81644203768207,123.04209159420289,-0.8073119153429855,,0,0,,2.9661419283306723
161,0,0,0,0,1,0,0,143.6066811141162,-48.691519127398806,122.74902996015916,-0.8049629889403044,,0,0,,2.9538020516558112
162,0,0,0,0,1,0,0,143.379151727105,-48.5661853489676,122.45709858980673,-0.8026004731039561,,0,0,,2.94146217498095
163,0,0,0,0,1,0,0,143.1515375458667,-48.440445532271546,122.16628996682192,-0.8002244128128372,,0,0,,2.929122298306089
